B_x_m,B_y_m,C_x_m,C_y_m,E_x_m,E_y_m,F_x_m,F_y_m,H_x_m,H_y_m,A_force_x_N,A_force_y_N,B_force_x_N,B_force_y_N,C_force_x_N,C_force_y_N,D_force_x_N,D_force_y_N,E_force_x_N,E_force_y_N,F_force_x_N,F_force_y_N,G_force_x_N,G_force_y_N,InputTorque_N_m
0.960484029591932,0.117915933666069,-0.224361064554659,0.89276566288894,-1.01871140817923,2.17246583542293,-2.07883930422117,1.66486969277241,-3.59711804572114,2.70960825485829,797.604563443989,-521.607156129254,-797.604563443989,521.607156129254,-797.604563443989,521.607156129254,-650.790320687325,591.902771957943,-146.814242756665,-70.2956158286889,-146.814242756665,-70.2956158286889,-146.814242756665,29.7043841713111,522.042601873461
0.966957470325379,0.110301230996144,-0.205304629980642,0.904059108554608,-0.970541812883153,2.20137828821065,-2.04168226150181,1.71745356334838,-3.5334607650806,2.79969470850052,763.727540492068,-517.132432598202,-763.727540492068,517.132432598202,-763.727540492068,517.132432598202,-618.202942179147,582.878200382521,-145.524598312921,-65.7457677843189,-145.524598312921,-65.7457677843189,-145.524598312921,34.2542322156811,510.108106065836
0.973562820008342,0.102800665201047,-0.186090570092616,0.914868405495756,-0.921965581629894,2.22906510591583,-2.00347236331867,1.76877380558398,-3.46799973713332,2.88761631967949,730.381800707975,-511.462738363288,-730.381800707975,511.462738363288,-730.381800707975,511.462738363288,-586.362942181251,572.757432752593,-144.018858526724,-61.2946943893055,-144.018858526724,-61.2946943893055,-144.018858526724,38.7053056106945,497.258166198301
0.98029806658732,0.0954165210257772,-0.166760471540284,0.925179565580404,-0.873087985733264,2.25549022204151,-1.96431565301528,1.81874409651977,-3.40091663486468,2.97322520028429,697.686545144026,-504.694828206845,-697.686545144026,504.694828206845,-697.686545144026,504.694828206845,-555.377252414918,561.651808027549,-142.309292729108,-56.9569798207042,-142.309292729108,-56.9569798207042,-142.309292729108,43.0430201792958,483.628546672509
0.98716115844096,0.0881510477521832,-0.147354737146312,0.934982602820728,-0.824011350973903,2.28062773693424,-1.92431966374675,1.86729177570782,-3.33239568359866,3.05639686875805,665.744437229297,-496.928601220952,-665.744437229297,496.928601220952,-665.744437229297,496.928601220952,-525.335138355772,549.674010704192,-140.409298873525,-52.7454094832405,-140.409298873525,-52.7454094832405,-140.409298873525,47.2545905167595,469.351410444871
0.994150005004998,0.0810064585138059,-0.127912306426738,0.944271289990491,-0.774834345341473,2.30446130449817,-1.8835921815201,1.91435739435053,-3.26262154184401,3.13702947768466,634.641963253514,-488.265296743645,-634.641963253514,488.265296743645,-634.641963253514,488.265296743645,-496.308847663403,536.936239607597,-138.333115590111,-48.6709428639513,-138.333115590111,-48.6709428639513,-138.333115590111,51.3290571360487,454.55372255018
1.00126247740907,0.0739849296217387,-0.108470421601001,0.953042887241545,-0.725651381747724,2.32698344724855,-1.84224012611552,1.95989411758729,-3.1917773840935,3.21504278978881,604.450072527307,-478.805888077196,-604.450072527307,478.805888077196,-604.450072527307,478.805888077196,-468.354522910534,523.548613929219,-136.095549616773,-44.7427258520229,-136.095549616773,-44.7427258520229,-136.095549616773,55.2572741479771,439.355962713808
1.00849640912518,0.0670885999017012,-0.0890644384334443,0.961297851646727,-0.676552134168018,2.34819482235525,-1.80036855970429,2.00386701096779,-3.12004320239261,3.29037695552533,575.225036824798,-468.649688906322,-575.225036824798,468.649688906322,-575.225036824798,468.649688906322,-441.513312957404,509.617825863507,-133.711723867394,-40.9681369571851,-133.711723867394,-40.9681369571851,-133.711723867394,59.0318630428149,423.87113658024
1.01584959662765,0.060319570042532,-0.069727680182366,0.969039535749104,-0.6276211629539,2.36810345919258,-1.75807982788006,2.0462522406251,-3.04759433475803,3.36299114281918,547.009471895763,-457.893177354412,-547.009471895763,457.893177354412,-547.009471895763,457.893177354412,-415.812622046098,495.246038902063,-131.196849849665,-37.3528615476505,-131.196849849665,-37.3528615476505,-131.196849849665,62.6471384523495,408.204066497645
1.02331980006433,0.0536799019562998,-0.0504913320973168,0.976273882234576,-0.578937642927037,2.38672398648161,-1.7154728334326,2.08703621438791,-2.97460022101016,3.4328620656228,519.833468782445,-446.629034363244,-519.833468782445,446.629034363244,-519.833468782445,446.629034363244,-391.267442063976,480.530022591384,-128.566026718469,-33.9009882281404,-128.566026718469,-33.9009882281404,-128.566026718469,66.0990117718596,392.450936682661
1.0309047439389,0.047171618150223,-0.0313843732906313,0.983009120826673,-0.530575186291317,2.40407686453762,-1.67264243957022,2.12621468829193,-2.90122338037634,3.49998245319542,493.715788753003,-434.945386603926,-493.715788753003,434.945386603926,-493.715788753003,434.945386603926,-367.881720758203,465.560508330339,-125.834067994799,-30.6151217264124,-125.834067994799,-30.6151217264124,-125.834067994799,69.3848782735876,376.699063724582
1.03860211780398,0.040796701110597,-0.0124335423970162,0.989255472479109,-0.482601751340128,2.42018763554598,-1.62967899643747,2.16379185987895,-2.82761860032316,3.56435949674701,468.665082319694,-422.925239354158,-468.665082319694,422.925239354158,-468.665082319694,422.925239354158,-345.649726397236,450.421746442499,-123.015355922458,-27.4965070883415,-123.015355922458,-27.4965070883415,-123.015355922458,72.5034929116585,361.026861470521
1.0464095769649,0.0345570926989061,0.00633666679840706,0.995024864952506,-0.435079627329747,2.43508620228442,-1.58666798264161,2.19977946649021,-2.75393232242111,3.62601330463846,444.681099597185,-410.646081556935,-444.681099597185,410.646081556935,-444.681099597185,410.646081556935,-324.557377012351,435.191242093255,-120.123722584834,-24.5451605363203,-120.123722584834,-24.5451605363203,-120.123722584834,75.4548394636797,345.503969019825
1.054324743194,0.0284546935603178,0.0249039836642212,1.0003306629356,-0.388065485671175,2.44880614336212,-1.54368975202898,2.23419590361346,-2.68030220852306,3.68497539193776,421.755865831608,-398.179643406491,-421.755865831608,398.179643406491,-421.755865831608,398.179643406491,-304.583509574582,419.939646376564,-117.172356257026,-21.7600029700738,-117.172356257026,-21.7600029700738,-117.172356257026,78.2399970299262,330.191511498287
1.06234520545494,0.0224913625447247,0.0432483168159348,1.00518741502804,-0.341610487691547,2.461384070907,-1.50081937505999,2.26706537534219,-2.60685686900849,3.74128722499037,399.874802048294,-385.591786061867,-399.874802048294,385.591786061867,-399.874802048294,385.591786061867,-285.701071038894,404.730778800165,-114.173731009401,-19.1389927382978,-114.173731009401,-19.1389927382978,-114.173731009401,80.8610072617022,315.142465149036
1.07046852063724,0.016668916140522,0.0613516917131015,1.00961061915338,-0.295760439566111,2.47285903473196,-1.45812656372931,2.2984170862281,-2.53371573415723,3.79499883690468,379.017776267322,-372.942503238457,-379.017776267322,372.942503238457,-379.017776267322,372.942503238457,-267.87821898159,389.621758187268,-111.139557285732,-16.6792549488115,-111.139557285732,-16.6792549488115,-111.139557285732,83.3207450511885,300.402100770702
1.0786922143004,0.0109891279212886,0.0791981732596613,1.01361650732206,-0.250555985559026,2.48327197536271,-1.41567566897625,2.32828448130672,-2.46098904971285,3.84616752556706,359.160075534103,-360.286015255454,-359.160075534103,360.286015255454,-359.160075534103,360.286015255454,-251.079324506999,374.663220443722,-108.080751027104,-14.3772051882682,-108.080751027104,-14.3772051882682,-108.080751027104,85.6227948117318,286.008482400038
1.08701378142766,0.00545372800553617,0.0967737766398245,1.01722185011543,-0.206032831380613,2.49266522691413,-1.3735257398422,2.35670453887562,-2.38877797823092,3.89485664203275,340.273293078749,-347.670937427133,-340.273293078749,347.670937427133,-340.273293078749,347.670937427133,-235.265874202946,359.899603499559,-105.007418875803,-12.2286660724261,-105.007418875803,-12.2286660724261,-105.007418875803,87.7713339275739,271.993001168012
1.09543068718906,6.4402529702634e-05,0.114066369322512,1.02044378080933,-0.162221990221329,2.50108206964985,-1.33173063417919,2.38371711871542,-2.31717478874446,3.94113447390097,322.326128266476,-335.140506309452,-322.326128266476,335.140506309452,-322.326128266476,335.140506309452,-220.397271220384,345.369481843597,-101.928857046092,-10.2289755341457,-101.928857046092,-10.2289755341457,-101.928857046092,89.7710244658543,258.38092729297
1.10394036771358,-0.00517720686546486,0.131065566851788,1.02329963869214,-0.119150044817944,2.50856633113386,-1.29033917142553,2.40936436685811,-2.24626311849844,3.98507322556664,305.285099675928,-322.732849111017,-305.285099675928,322.732849111017,-305.285099675928,322.732849111017,-206.431538108063,331.105935285058,-98.8535615678648,-8.37308617404162,-98.8535615678648,-8.37308617404162,-98.8535615678648,91.6269138259584,245.191966091348
1.11254023087008,-0.0102695035349682,0.147762624721584,1.02580683085086,-0.076839419712777,2.51516203416399,-1.24939531878234,2.43369017670905,-2.17611829190669,4.02674809501698,289.115173706403,-310.481283437819,-289.115173706403,310.481283437819,-289.115173706403,310.481283437819,-193.325925931955,317.136938785754,-95.7892477744475,-6.65565534793545,-95.7892477744475,-6.65565534793545,-95.7892477744475,93.3443446520645,232.440806602192
